FID,the_geom,code,timestamp,air_pressure,air_temperature,relative_humidity,precipitation,wind_speed,wind_direction,qc_flags
aws_10min.fid--18bb3085_18f8bd049eb_-6ea3,POINT (4.358 50.797),6447,2024-03-12T19:00:00,1000.97,9.39,100,0.19,,236.9,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6ea2,POINT (4.358 50.797),6447,2024-03-12T19:10:00,1000.91,9.51,100,0.23,,238.9,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6ea1,POINT (4.358 50.797),6447,2024-03-12T19:20:00,1000.89,9.64,100,0.18,,232.7,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6ea0,POINT (4.358 50.797),6447,2024-03-12T19:30:00,1001,9.8,100,0.22,,241.5,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e9f,POINT (4.358 50.797),6447,2024-03-12T19:40:00,1001,10,100,0.12,,242.3,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e9e,POINT (4.358 50.797),6447,2024-03-12T19:50:00,1000.98,10.19,100,0,,242.9,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e9d,POINT (4.358 50.797),6447,2024-03-12T20:00:00,1001,10.31,100,0,,246,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e9c,POINT (4.358 50.797),6447,2024-03-12T20:10:00,1001.12,10.44,99.94,0,,248.3,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e9b,POINT (4.358 50.797),6447,2024-03-12T20:20:00,1001.23,10.57,99.42,0,,251.3,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
aws_10min.fid--18bb3085_18f8bd049eb_-6e9a,POINT (4.358 50.797),6447,2024-03-12T20:30:00,1001.24,10.64,99.07,0,,252.4,"{""validated"": {""air_pressure"":true,""air_temperature"":true,""relative_humidity"":true,""precipitation"":true,""wind_speed"":false}}"
